wavelength_nm,cie_v_lambda,bpw34_relative_response
465.62,0.07583,0.15467
465.83,0.07649,0.15503
466.04,0.07715,0.15539
466.25,0.07783,0.15575
466.46,0.07851,0.15612
466.67,0.07919,0.15648
466.87,0.07984,0.15682
467.08,0.08054,0.15718
467.29,0.08125,0.15754
467.5,0.08197,0.1579
467.71,0.08268,0.15826
467.92,0.08339,0.15863
468.13,0.08413,0.15899
468.33,0.08484,0.15933
468.54,0.08559,0.15969
468.75,0.08634,0.16005
468.96,0.08709,0.16041
469.17,0.08787,0.16077
469.38,0.08866,0.16114
469.58,0.08941,0.16148
469.79,0.09019,0.16184
470,0.09098,0.1622
470.21,0.09181,0.16256
470.42,0.09263,0.16292
470.62,0.09342,0.16327
470.83,0.09425,0.16363
471.04,0.09508,0.16399
471.25,0.09595,0.16435
471.46,0.09682,0.16471
471.67,0.09768,0.16507
471.87,0.09851,0.16542
472.08,0.09939,0.16578
472.29,0.1003,0.16614
472.5,0.10121,0.1665
472.71,0.10211,0.16686
472.91,0.10298,0.1672
473.12,0.10391,0.16757
473.33,0.10486,0.16793
473.54,0.10581,0.16829
473.75,0.10676,0.16865
473.95,0.10766,0.16899
474.16,0.10864,0.16935
474.37,0.10963,0.16971
474.58,0.11062,0.17008
474.79,0.11161,0.17044
474.99,0.11255,0.17078
475.2,0.11359,0.17114
475.41,0.11462,0.1715
475.62,0.11566,0.17186
475.82,0.11664,0.17221
476.03,0.11769,0.17257
476.24,0.11877,0.17293
476.45,0.11985,0.17329
476.66,0.12093,0.17365
476.86,0.12195,0.17399
477.07,0.12305,0.17436
477.28,0.12416,0.17472
477.49,0.12528,0.17508
477.69,0.12634,0.17542
477.9,0.12746,0.17578
478.11,0.12859,0.17614
478.32,0.12974,0.1765
478.53,0.13089,0.17687
478.73,0.13198,0.17721
478.94,0.13313,0.17757
479.15,0.13429,0.17793
479.36,0.13546,0.17829
479.56,0.13657,0.17864
479.77,0.13774,0.179
479.98,0.13891,0.17936
480.19,0.14009,0.17972
480.39,0.14123,0.18006
480.6,0.14241,0.18042
480.81,0.1436,0.18079
481.02,0.14479,0.18115
481.22,0.14595,0.18149
481.43,0.14717,0.18185
481.64,0.14838,0.18221
481.85,0.1496,0.18257
482.05,0.15077,0.18292
482.26,0.15203,0.18328
482.47,0.15329,0.18364
482.67,0.15448,0.18398
482.88,0.15574,0.18434
483.09,0.15702,0.18471
483.3,0.15834,0.18507
483.5,0.15959,0.18541
483.71,0.1609,0.18577
483.92,0.16222,0.18613
484.13,0.16357,0.18649
484.33,0.16489,0.18684
484.54,0.16627,0.1872
484.75,0.16765,0.18756
484.95,0.16897,0.1879
485.16,0.17041,0.18826
485.37,0.17187,0.18862
485.58,0.17333,0.18899
485.78,0.17472,0.18933
485.99,0.17617,0.18969
486.2,0.17771,0.19005
486.4,0.17917,0.1904
486.61,0.18071,0.19076
486.82,0.18224,0.19112
487.03,0.18379,0.19148
487.23,0.18533,0.19182
487.44,0.18695,0.19218
487.65,0.18857,0.19254
487.85,0.19012,0.19289
488.06,0.19176,0.19325
488.27,0.19347,0.19361
488.47,0.1951,0.19395
488.68,0.19681,0.19432
488.89,0.19852,0.19468
489.09,0.20019,0.19502
489.3,0.202,0.19538
489.51,0.20381,0.19574
489.72,0.20561,0.1961
489.92,0.20733,0.19645
490.13,0.2092,0.19681
490.34,0.21111,0.19717
490.54,0.21293,0.19751
490.75,0.21484,0.19787
490.96,0.21676,0.19824
491.16,0.21866,0.19858
491.37,0.22068,0.19894
491.58,0.2227,0.1993
491.78,0.22462,0.19964
491.99,0.22664,0.20001
492.2,0.22876,0.20037
